,이름,사용가능시간,구분,사용가능,사용중,사용불가,도로명주소,연락처,충전요금,급속충전량,참고사항
1302,롯데마트 서산점,24시간 이용가능,급속,1,0,0,충청남도 서산시 충의로 27 (예천동) ,1661-9408,유료,급속(50kW),없음 
1303,롯데마트 천안점,10:00~23:00,급속,0,2,0,충청남도 천안시 서북구 월봉로 95-0 (쌍용2동) ,1661-9408,유료,급속(50kW),없음 
1304,롯데마트 홍성점,10:00~23:00,급속,1,0,0,충청남도 홍성군 홍성읍 조양로247번길 9 (고암리) ,1661-9408,유료,급속(50kW),없음 
1305,망향휴게소(부산방향),24시간 이용가능,급속,0,0,1,충청남도 천안시 서북구 성거읍 돌다리길 23-37 ,1661-9408,유료,급속(50kW),없음 
1306,망향휴게소(부산방향),24시간 이용가능,급속,0,1,0,충청남도 천안시 서북구 성거읍 돌다리길 23-37 ,1661-9408,유료,급속(100kW멀티),없음 
1307,머드광장,24시간 이용가능,급속,2,1,0,"충청남도 보령시 신흑동 2279, 입구 우측 안쪽 ",1661-9408,유료,"급속(50kW), 급속(100kW동시)",없음 
1308,면천면사무소,24시간 이용가능,급속,1,0,0,"충청남도 당진시 면천로 623 , 사무소 앞 주차장(성상리 950)",1661-9408,유료,급속(50kW),없음 
1309,모종동 제1공영주차장,24시간 이용가능,급속,1,0,0,충청남도 아산시 모종동 562-4 ,1661-9408,유료,급속(100kW멀티),"최초30분 무료, 환경친화 자동차 증서 제시시 2시간 무료, 이후 50% 감면 "
1310,무창포해수욕장 제6공영주차장,24시간 이용가능,급속,2,0,1,"충청남도 보령시 웅천읍 독산리 784-2, 입구 좌측 ",1661-9408,유료,"급속(50kW), 급속(100kW동시)",없음 
1311,문성동 주민센터,24시간 이용가능,급속,2,0,0,충청남도 천안시 동남구 문화로 15 ,1661-9408,유료,급속(200kW동시),없음 
1312,배방읍 행정복지센터,24시간 이용가능,급속,2,0,0,충청남도 아산시 배방읍 배방로 38 ,1661-9408,유료,급속(200kW동시),없음 
1313,벌곡휴게소(논산방향),24시간 이용가능,급속,0,1,0,충청남도 논산시 벌곡면 호남고속도로 2465-10 (신양리) ,1661-9408,유료,급속(50kW),없음 
1314,벌곡휴게소(대전방향),24시간 이용가능,급속,1,0,0,충청남도 논산시 벌곡면 양산리 (벌곡면 양산리),1661-9408,유료,급속(50kW),없음 
1315,벌곡휴게소(대전방향),24시간 이용가능,급속,1,0,0,충청남도 논산시 벌곡면 벌곡로 9-58 ,1661-9408,유료,급속(100kW멀티),없음 
1316,보령시청,24시간 이용가능,급속,1,0,0,"충청남도 보령시 성주산로 77 , 후문 왼편(명천동 269-4)",1661-9408,유료,급속(50kW),없음 
1317,보령시청 (정문) 주차장,24시간 이용가능,급속,4,0,0,충청남도 보령시 명천동 269-4 ,1661-9408,무료,급속(200kW동시),없음 
1318,부석면주민자치센터,24시간 이용가능,급속,1,0,0,충청남도 서산시 부석면 취평리 364-2 ,1661-9408,유료,급속(100kW멀티),없음 
1319,부여군청 뒤 주차장,24시간 이용가능,급속,2,0,0,충청남도 부여군 부여읍 동남리 732-1  ,1661-9408,유료,급속(200kW동시),없음 
1320,부여백제휴게소(공주방향),24시간 이용가능,급속,1,0,0,충청남도 부여군 내산면 서천공주고속도로 26 (서천공주고속도로 26),1661-9408,유료,급속(50kW),없음 
1321,부여백제휴게소(공주방향),24시간 이용가능,급속,1,0,0,충청남도 부여군 내산면 서천공주고속도로 26 (율암리) ,1661-9408,유료,급속(50kW),없음 
1322,부여백제휴게소(서천방향),24시간 이용가능,급속,0,1,0,충청남도 부여군 내산면 서천공주고속도로 25  ,1661-9408,유료,급속(50kW),없음 
1323,부여백제휴게소(서천방향),24시간 이용가능,급속,1,0,0,충청남도 부여군 내산면 서천공주고속도로 25 (율암리) ,1661-9408,유료,급속(50kW),없음 
1324,블루핸즈 내포현대서비스,24시간 이용가능,급속,3,0,0,충청남도 홍성군 홍북읍 홍북로 453번길 50 ,1661-9408,유료,"급속(50kW), 급속(100kW동시)",없음 
1325,블루핸즈 북천안현대서비스,24시간 이용가능,급속,3,0,0,"충청남도 천안시 서북구 신당새터 2길 28, 카페 옆 ",1661-9408,유료,"급속(50kW), 급속(100kW동시)",없음 
1326,블루핸즈 서산현대서비스,24시간 이용가능,급속,3,0,0,충청남도 서산시 수석동 204-19 ,1661-9408,유료,"급속(50kW), 급속(100kW동시)",없음 
1327,블루핸즈 오관점,24시간 이용가능,급속,2,0,1,충청남도 홍성군 홍성읍 충서로 1402 ,1661-9408,유료,"급속(50kW), 급속(100kW동시)",없음 
1328,사곡면사무소,24시간 이용가능,급속,1,0,0,충청남도 공주시 사곡면 호계리 309 ,1661-9408,유료,급속(100kW멀티),없음 
1329,삼봉4리사무소,24시간 이용가능,급속,1,0,0,"충청남도 당진시 석문면 대호만로 1736-7 , 주차장 내(삼봉리 922-44)",1661-9408,유료,급속(50kW),없음 
1330,삽교읍 국민체육센터,24시간 이용가능,급속,1,0,0,충청남도 예산군 삽교읍 신가꽃산서길 115 ,1661-9408,유료,급속(100kW멀티),없음 
1331,상월면사무소,24시간 이용가능,급속,1,0,0,충청남도 논산시 상월면 신충리 54-2 ,1661-9408,무료,급속(100kW멀티),없음 
1332,서면사무소,24시간 이용가능,급속,1,0,0,충청남도 서천군 서면 서인로 761 ,1661-9408,유료,급속(50kW),없음 
1333,서부농협 광리지점,24시간 이용가능,급속,2,0,1,충청남도 홍성군 서부면 서부로 777 ,1661-9408,유료,"급속(50kW), 급속(100kW동시)",없음 
1334,서산시청,24시간 이용가능,급속,1,0,0,"충청남도 서산시 관아문길 1 , 수도과 주차장 정면(읍내동 472-1)",1661-9408,유료,급속(50kW),없음 
