"sid","name","u_time","agency","do","city","gu","c_add","phone","fee","etc","create_date"
"ME178044","이천휴게소(하남방향)","24시간 이용가능","환경부(한국자동차환경협회)","경기도","이천시","신둔면","경기도 이천시 신둔면 서이천로853번길 346-129 (용면리) ","1661-9408","유료","없음 ","Wed Sep 23 14:00:54 2020"
"ME178045","음성휴게소(하남방향)","24시간 이용가능","환경부(한국자동차환경협회)","충청북도","음성군","음성군","충청북도 음성군 삼성면 중부고속도로 52 (양덕리) ","1661-9408","유료","없음 ","Wed Sep 23 14:00:54 2020"
"ME178046","건천휴게소(부산방향)","24시간 이용가능","환경부(한국자동차환경협회)","경상북도","경주시","건천읍","경상북도 경주시 건천읍 경부고속도로 77 (방내리) ","1661-9408","유료","없음 ","Wed Sep 23 14:00:54 2020"
"ME178047","건천휴게소(서울방향)","24시간 이용가능","환경부(한국자동차환경협회)","경상북도","경주시","건천읍","경상북도 경주시 건천읍 경부고속도로 76 (방내리) ","1661-9408","유료","없음 ","Wed Sep 23 14:00:54 2020"
"ME178048","고성휴게소(통영방향)","24시간 이용가능","환경부(한국자동차환경협회)","경상남도","고성군","고성군","경상남도 고성군 대가면 통영대전고속도로 29 (송계리) ","1661-9408","유료","없음 ","Wed Sep 23 14:00:54 2020"
"ME178049","고성휴게소(하남방향)","24시간 이용가능","환경부(한국자동차환경협회)","경상남도","고성군","고성군","경상남도 고성군 대가면 통영대전고속도로 32 (신전리) ","1661-9408","유료","없음 ","Wed Sep 23 14:00:54 2020"
"ME178050","산청휴게소(통영방향)","24시간 이용가능","환경부(한국자동차환경협회)","경상남도","산청군","산청군","경상남도 산청군 단성면 통영대전고속도로 77 (방목리) ","1661-9408","유료","없음 ","Wed Sep 23 14:00:54 2020"
"ME178051","산청휴게소(하남방향)","24시간 이용가능","환경부(한국자동차환경협회)","경상남도","산청군","산청군","경상남도 산청군 단성면 통영대전고속도로 76 (방목리) ","1661-9408","유료","없음 ","Wed Sep 23 14:00:54 2020"
"ME178052","덕유산휴게소(통영방향)","24시간 이용가능","환경부(한국자동차환경협회)","전라북도","장수군","장수군","전라북도 장수군 계북면 당저길 59 (양악리) ","1661-9408","유료","없음 ","Wed Sep 23 14:00:54 2020"
"ME178053","덕유산휴게소(하남방향)","24시간 이용가능","환경부(한국자동차환경협회)","전라북도","무주군","무주군","전라북도 무주군 안성면 통영대전고속도로 148 (공진리) ","1661-9408","유료","없음 ","Wed Sep 23 14:00:54 2020"
"ME178054","인삼랜드휴게소(통영방향)","24시간 이용가능","환경부(한국자동차환경협회)","충청남도","금산군","금산군","충청남도 금산군 군북면 어필각로 300 (외부리) ","1661-9408","유료","없음 ","Wed Sep 23 14:00:54 2020"
"ME178055","인삼랜드휴게소(하남방향)","24시간 이용가능","환경부(한국자동차환경협회)","충청남도","금산군","금산군","충청남도 금산군 군북면 대암길 34-30 (외부리) ","1661-9408","유료","없음 ","Wed Sep 23 14:00:54 2020"
"ME178056","함양휴게소(통영방향)","24시간 이용가능","환경부(한국자동차환경협회)","경상남도","함양군","함양군","경상남도 함양군 지곡면 효산길 23-31 (보산리) ","1661-9408","유료","없음 ","Wed Sep 23 14:00:54 2020"
"ME178057","함양휴게소(하남방향)","24시간 이용가능","환경부(한국자동차환경협회)","경상남도","함양군","함양군","경상남도 함양군 지곡면 효산길 23-11 (보산리) ","1661-9408","유료","없음 ","Wed Sep 23 14:00:54 2020"
